Date,Weight
01-01,31470
01-02,34249
01-03,35905
01-04,36687
01-05,36487
01-06,36346
01-07,35817
01-08,35667
01-09,35706
01-10,35606
01-11,35599
01-12,35673
01-13,34952
01-14,35561
01-15,35094
01-16,35734
01-17,35751
01-18,35538
01-19,35551
01-20,35662
01-21,35132
01-22,35357
01-23,35952
01-24,35351
01-25,35431
01-26,35312
01-27,35306
01-28,35402
01-29,35503
01-30,35561
01-31,35660
02-01,35927
02-02,35410
02-03,35558
02-04,35595
02-05,35560
02-06,36009
02-07,35934
02-08,35534
02-09,35206
02-10,35867
02-11,35608
02-12,35765
02-13,35214
02-14,36228
02-15,35769
02-16,35679
02-17,35553
02-18,35786
02-19,35584
02-20,35791
02-21,35980
02-22,35615
02-23,35579
02-24,35913
02-25,35935
02-26,35523
02-27,36185
02-28,36458
02-29,8941
03-01,36252
03-02,35507
03-03,35796
03-04,36014
03-05,36018
03-06,36360
03-07,36169
03-08,35588
03-09,35339
03-10,35392
03-11,35640
03-12,35650
03-13,35649
03-14,35936
03-15,35458
03-16,35133
03-17,35430
03-18,35310
03-19,35758
03-20,35904
03-21,35540
03-22,35414
03-23,34938
03-24,35454
03-25,35113
03-26,35525
03-27,35893
03-28,35599
03-29,34960
03-30,34911
03-31,35359
04-01,34046
04-02,35105
04-03,35958
04-04,36118
04-05,34828
04-06,34761
04-07,35734
04-08,35291
04-09,35328
04-10,35726
04-11,35927
04-12,35453
04-13,34156
04-14,34978
04-15,35405
04-16,35886
04-17,35698
04-18,35673
04-19,36015
04-20,35349
04-21,34890
04-22,35348
04-23,36012
04-24,35680
04-25,35592
04-26,36204
04-27,35969
04-28,36142
04-29,35778
04-30,36227
05-01,36328
05-02,36232
05-03,35715
05-04,35524
05-05,35150
05-06,35302
05-07,35834
05-08,36585
05-09,36593
05-10,36530
05-11,35933
05-12,36098
05-13,35669
05-14,36677
05-15,36794
05-16,36514
05-17,36459
05-18,36223
05-19,36264
05-20,36128
05-21,36629
05-22,37094
05-23,37195
05-24,36759
05-25,35698
05-26,35325
05-27,36063
05-28,36363
05-29,35754
05-30,36168
05-31,35810
06-01,36417
06-02,36373
06-03,36348
06-04,35953
06-05,36683
06-06,36723
06-07,36466
06-08,36043
06-09,36351
06-10,36581
06-11,37030
06-12,36908
06-13,36224
06-14,36617
06-15,36292
06-16,36915
06-17,36618
06-18,36876
06-19,37377
06-20,37398
06-21,36804
06-22,36414
06-23,36607
06-24,36570
06-25,37142
06-26,36959
06-27,37481
06-28,36741
06-29,36556
06-30,37068
07-01,37131
07-02,37701
07-03,37480
07-04,37647
07-05,36742
07-06,36441
07-07,36941
07-08,37096
07-09,37174
07-10,37755
07-11,37513
07-12,37181
07-13,36279
07-14,37271
07-15,37231
07-16,37470
07-17,37798
07-18,37853
07-19,37205
07-20,36577
07-21,37133
07-22,37089
07-23,37803
07-24,37767
07-25,37702
07-26,37252
07-27,36966
07-28,37153
07-29,37160
07-30,37215
07-31,37345
08-01,37236
08-02,36817
08-03,36748
08-04,36789
08-05,37050
08-06,37154
08-07,36941
08-08,37657
08-09,37035
08-10,36766
08-11,36970
08-12,37334
08-13,36321
08-14,37064
08-15,37356
08-16,36691
08-17,36293
08-18,36723
08-19,36619
08-20,37195
08-21,37218
08-22,37124
08-23,36634
08-24,36366
08-25,35039
08-26,35592
08-27,35480
08-28,36043
08-29,36079
08-30,35653
08-31,35463
09-01,36192
09-02,36683
09-03,37174
09-04,37133
09-05,37503
09-06,36872
09-07,36887
09-08,37279
09-09,37555
09-10,37462
09-11,37774
09-12,37898
09-13,37103
09-14,37595
09-15,37806
09-16,37968
09-17,38416
09-18,38864
09-19,38917
09-20,38446
09-21,38259
09-22,38636
09-23,38973
09-24,39166
09-25,39303
09-26,39470
09-27,39144
09-28,38496
09-29,38684
09-30,39047
10-01,39011
10-02,38801
10-03,38439
10-04,38097
10-05,37549
10-06,37435
10-07,37470
10-08,37226
10-09,37715
10-10,37717
10-11,36959
10-12,36732
10-13,35819
10-14,36625
10-15,36711
10-16,36554
10-17,36387
10-18,36601
10-19,35700
10-20,35804
10-21,36172
10-22,36373
10-23,36029
10-24,36357
10-25,36026
10-26,35590
10-27,35406
10-28,35909
10-29,36085
10-30,36079
10-31,36060
11-01,36270
11-02,35744
11-03,35894
11-04,36232
11-05,36439
11-06,36620
11-07,36749
11-08,36544
11-09,36230
11-10,35960
11-11,36530
11-12,37079
11-13,36596
11-14,36686
11-15,36446
11-16,35648
11-17,35907
11-18,36116
11-19,36395
11-20,36382
11-21,36297
11-22,35579
11-23,35315
11-24,35332
11-25,35149
11-26,35816
11-27,35446
11-28,35719
11-29,35421
11-30,34536
12-01,35146
12-02,35012
12-03,35717
12-04,35804
12-05,35753
12-06,35215
12-07,35004
12-08,35294
12-09,35243
12-10,35739
12-11,35939
12-12,36212
12-13,35025
12-14,35380
12-15,35666
12-16,36179
12-17,36702
12-18,37134
12-19,37251
12-20,37280
12-21,36695
12-22,36574
12-23,36020
12-24,34011
12-25,28448
12-26,27179
12-27,33463
12-28,34659
12-29,37145
12-30,37539
12-31,36655
